2018,1,United Kingdom,11743,"Soluble coffee, including decaffeinated"
2018,2,Indonesia,134400,"Coffee not roasted or decaffeinated, in grain"
2018,3,Chile,3150,"Soluble coffee, including decaffeinated"
2018,2,Paraguay,27000,"Coffee not roasted or decaffeinated, in grain"
2018,3,Australia,43200,"Coffee not roasted or decaffeinated, in grain"
2018,6,Paraguay,578,"Coffee roasted, not decaffeinated"
2018,9,Australia,64800,"Coffee not roasted or decaffeinated, in grain"
2018,9,United Kingdom,1100,"Coffee roasted, not decaffeinated"
2018,11,Malta,10,"Coffee roasted, not decaffeinated"
2018,11,United States,5966,"Coffee roasted, not decaffeinated"
2018,11,Bahrein,11551,"Soluble coffee, including decaffeinated"
2018,6,Argentina,79200,"Coffee not roasted or decaffeinated, in grain"
2018,5,Russia,314525,"Soluble coffee, including decaffeinated"
2018,5,New Zealand,57525,"Coffee not roasted or decaffeinated, in grain"
2018,5,Iraq,11640,"Soluble coffee, including decaffeinated"
2018,7,Japan,95867,"Soluble coffee, including decaffeinated"
2018,6,Indonesia,249600,"Coffee not roasted or decaffeinated, in grain"
2018,9,South Korea,72208,"Soluble coffee, including decaffeinated"
2018,9,Chile,160000,"Coffee not roasted or decaffeinated, in grain"
2018,3,Libya,19200,"Coffee not roasted or decaffeinated, in grain"
2018,11,Egypt,13860,"Soluble coffee, including decaffeinated"
2018,11,Bahamas,0,"Soluble coffee, including decaffeinated"
2018,6,Slovenia,170400,"Coffee not roasted or decaffeinated, in grain"
2018,2,Senegal,5760,"Soluble coffee, including decaffeinated"
2018,4,Kenya,3432,"Soluble coffee, including decaffeinated"
2018,4,Chile,15359,"Soluble coffee, including decaffeinated"
2018,6,Argentina,1728,"Soluble coffee, including decaffeinated"
2018,11,Turkey,2,"Soluble coffee, including decaffeinated"
2018,5,Croatia,86400,"Coffee not roasted or decaffeinated, in grain"
2018,3,United States,216000,"Coffee not roasted or decaffeinated, in grain"
2018,6,Belgium,259200,"Coffee not roasted or decaffeinated, in grain"
2018,7,Canada,396280,"Soluble coffee, including decaffeinated"
2018,9,Norway,12,"Coffee not roasted or decaffeinated, except in grain"
2018,8,Netherlands,1815555,"Coffee not roasted or decaffeinated, in grain"
2018,3,Oman,19200,"Coffee not roasted or decaffeinated, in grain"
2018,8,Malta,10,"Soluble coffee, including decaffeinated"
2018,11,Hong Kong,38350,"Coffee not roasted or decaffeinated, in grain"
2018,11,Israel,32750,"Soluble coffee, including decaffeinated"
2018,8,United Kingdom,1335677,"Coffee not roasted or decaffeinated, in grain"
2018,8,Uruguay,822,"Coffee roasted, not decaffeinated"
2018,8,Australia,116750,"Coffee not roasted or decaffeinated, in grain"
2018,11,Colombia,216000,"Coffee not roasted or decaffeinated, in grain"
2018,9,Trinidad and Tobago,240,"Coffee roasted, not decaffeinated"
2018,10,Japan,762731,"Coffee not roasted or decaffeinated, in grain"
2018,9,United Kingdom,500,"Soluble coffee, including decaffeinated"
2018,3,Suriname,2904,"Soluble coffee, including decaffeinated"
2018,10,United States,1385400,"Coffee not roasted or decaffeinated, in grain"
2018,11,Equatorial Guinea,7037,"Soluble coffee, including decaffeinated"
2018,8,Australia,16443,"Soluble coffee, including decaffeinated"
2018,10,Liberia,31,"Coffee roasted, not decaffeinated"
2018,11,Tunisia,2974,"Soluble coffee, including decaffeinated"
2018,10,Panama,2,"Coffee roasted, not decaffeinated"
2018,10,Paraguay,1011,"Coffee roasted, not decaffeinated"
2018,10,United States,547175,"Coffee not roasted or decaffeinated, in grain"
2018,8,Oman,64800,"Coffee not roasted or decaffeinated, in grain"
2018,12,Malaysia,428000,"Coffee not roasted or decaffeinated, in grain"
2018,12,Spain,4323591,"Coffee not roasted or decaffeinated, in grain"
2018,12,Germany,840000,"Coffee not roasted or decaffeinated, in grain"
2018,12,Ukraine,14500,"Soluble coffee, including decaffeinated"
2018,12,Australia,40800,"Coffee not roasted or decaffeinated, in grain"
2018,12,Cyprus,3,"Coffee roasted, not decaffeinated"
2018,12,Marshall Islands,7,"Soluble coffee, including decaffeinated"
2018,10,Slovenia,187125,"Coffee not roasted or decaffeinated, in grain"
2018,11,Italy,59472,"Coffee not roasted or decaffeinated, in grain"
2018,8,Italy,21600,"Coffee not roasted or decaffeinated, in grain"
2018,10,Philippines,7350,"Soluble coffee, including decaffeinated"
2018,8,Dominican Republic,240,"Coffee roasted, not decaffeinated"
2018,12,Indonesia,307200,"Coffee not roasted or decaffeinated, in grain"
2018,12,South Korea,90208,"Soluble coffee, including decaffeinated"
2018,12,Belgium,34,"Soluble coffee, including decaffeinated"
2018,10,Russia,780952,"Soluble coffee, including decaffeinated"
2018,12,Kenya,21272,"Soluble coffee, including decaffeinated"
2018,10,Antigua and Barbuda,0,"Soluble coffee, including decaffeinated"
2018,10,Marshall Islands,16,"Coffee roasted, not decaffeinated"
2018,10,Liberia,2,"Coffee roasted, not decaffeinated"
2018,12,Panama,12,"Soluble coffee, including decaffeinated"
2018,12,United States,1010,"Coffee roasted, not decaffeinated"
2018,10,Lebanon,45573,"Soluble coffee, including decaffeinated"
2018,10,Panama,6,"Coffee not roasted or decaffeinated, except in grain"
2018,10,Romania,39960,"Coffee not roasted or decaffeinated, in grain"
2018,12,Syria,472560,"Coffee not roasted or decaffeinated, in grain"
2018,12,Hong Kong,170,"Coffee not roasted or decaffeinated, in grain"
2018,12,United States,180000,"Coffee not roasted or decaffeinated, in grain"
2018,12,Turkey,3,"Soluble coffee, including decaffeinated"
2018,10,South Korea,36416,"Soluble coffee, including decaffeinated"
2018,10,Morocco,19200,"Coffee not roasted or decaffeinated, in grain"
2018,12,South Korea,1,"Coffee roasted, not decaffeinated"
2018,12,Ecuador,50031,"Soluble coffee, including decaffeinated"
2018,12,Slovakia,594425,"Coffee not roasted or decaffeinated, in grain"
2018,12,Hong Kong,300,"Soluble coffee, including decaffeinated"
2018,12,Australia,24,"Coffee not roasted or decaffeinated, in grain"
2018,12,Djibouti,56814,"Soluble coffee, including decaffeinated"
2018,12,Algeria,19200,"Coffee not roasted or decaffeinated, in grain"
2018,1,Indonesia,249600,"Coffee not roasted or decaffeinated, in grain"
2018,1,Denmark,73,"Coffee not roasted or decaffeinated, in grain"
2018,1,Ireland,191875,"Coffee not roasted or decaffeinated, in grain"
2018,5,Japan,3909905,"Coffee not roasted or decaffeinated, in grain"
2018,1,Sweden,2744935,"Coffee not roasted or decaffeinated, in grain"
2018,1,Denmark,189200,"Coffee not roasted or decaffeinated, in grain"
2018,4,Japan,4993773,"Coffee not roasted or decaffeinated, in grain"
2018,2,Russia,19200,"Coffee not roasted or decaffeinated, in grain"
2018,1,Sweden,187175,"Coffee not roasted or decaffeinated, in grain"
2018,5,Germany,6035565,"Coffee not roasted or decaffeinated, in grain"
2018,3,United Kingdom,700780,"Coffee not roasted or decaffeinated, in grain"
2018,9,Germany,21411570,"Coffee not roasted or decaffeinated, in grain"
2018,11,Germany,30959135,"Coffee not roasted or decaffeinated, in grain"
2018,3,Kuwait,12942,"Soluble coffee, including decaffeinated"
2018,6,Australia,703135,"Coffee not roasted or decaffeinated, in grain"
2018,5,Germany,674780,"Coffee not roasted or decaffeinated, in grain"
2018,4,China,8400,"Soluble coffee, including decaffeinated"
2018,5,Israel,64800,"Coffee not roasted or decaffeinated, in grain"
2018,5,Thailand,151,"Soluble coffee, including decaffeinated"
2018,5,Jordan,19200,"Coffee not roasted or decaffeinated, in grain"
2018,1,Uruguay,660,"Coffee roasted, not decaffeinated"
2018,4,New Zealand,11232,"Soluble coffee, including decaffeinated"
2018,1,United Arab Emirates,52800,"Coffee not roasted or decaffeinated, in grain"
2018,5,Syria,52800,"Coffee not roasted or decaffeinated, in grain"
2018,9,Poland,230315,"Coffee not roasted or decaffeinated, in grain"
2018,3,Paraguay,1184,"Coffee roasted, not decaffeinated"
2018,3,Saudi Arabia,105600,"Coffee not roasted or decaffeinated, in grain"
2018,11,Germany,26400,"Coffee not roasted or decaffeinated, except in grain"
2018,3,Egypt,57600,"Coffee not roasted or decaffeinated, in grain"
2018,6,Syria,52800,"Coffee not roasted or decaffeinated, in grain"
2018,3,Bulgaria,190800,"Coffee not roasted or decaffeinated, in grain"
2018,9,Taiwan,208752,"Coffee not roasted or decaffeinated, in grain"
2018,3,Portugal,235631,"Coffee not roasted or decaffeinated, in grain"
2018,5,Russia,216000,"Coffee not roasted or decaffeinated, in grain"
2018,6,Argentina,910780,"Coffee not roasted or decaffeinated, in grain"
2018,7,Saudi Arabia,19200,"Coffee not roasted or decaffeinated, in grain"
2018,11,United Arab Emirates,95950,"Coffee not roasted or decaffeinated, in grain"
2018,2,Vietnam,16375,"Soluble coffee, including decaffeinated"
2018,3,Israel,64800,"Coffee not roasted or decaffeinated, in grain"
2018,4,United Arab Emirates,57550,"Coffee not roasted or decaffeinated, in grain"
2018,11,Italy,1715085,"Coffee not roasted or decaffeinated, in grain"
2018,2,Germany,1008000,"Coffee not roasted or decaffeinated, in grain"
2018,2,United Arab Emirates,52800,"Coffee not roasted or decaffeinated, in grain"
2018,1,Indonesia,82800,"Soluble coffee, including decaffeinated"
2018,1,United Arab Emirates,91200,"Coffee not roasted or decaffeinated, in grain"
2018,1,Finland,280800,"Coffee not roasted or decaffeinated, in grain"
2018,11,United States,59,"Coffee not roasted or decaffeinated, in grain"
2018,3,New Zealand,154099,"Coffee not roasted or decaffeinated, in grain"
2018,2,Belgium,39412,"Coffee not roasted or decaffeinated, in grain"
2018,1,Cyprus,19200,"Coffee not roasted or decaffeinated, in grain"
2018,3,Indonesia,670560,"Soluble coffee, including decaffeinated"
2018,9,Uruguay,88800,"Coffee not roasted or decaffeinated, in grain"
2018,5,Turkey,64800,"Coffee not roasted or decaffeinated, in grain"
2018,11,United Kingdom,38400,"Coffee not roasted or decaffeinated, in grain"
2018,6,Malaysia,134375,"Coffee not roasted or decaffeinated, in grain"
