Country_of_Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,id,Rec_Cnt
Brazil,3.77655303030303,3.7867803030303033,3.7202651515151515,3.755719696969697,7.544545454545455,3.7657575757575756,9.884924242424242,9.853484848484849,4.97469696969697,0.0823484848484848,0.4469696969696969,0.1287878787878787,3.5984848484848486,BRA,44.0
Burundi,3.7075,3.73,3.625,3.7075,7.29,3.7075,10.0,10.0,5.0,0.06,0.0,0.0,2.5,BDI,44.0
China,3.820625,3.8128125,3.7421875,3.7890625,7.57375,3.7740625,9.958125,9.958125,4.958125,0.094375,0.5,0.0,4.0,CHN,181.0
Colombia,3.8265300546448087,3.798551912568306,3.762349726775956,3.78,7.609508196721311,3.8542076502732243,9.934426229508198,9.94535519125683,4.976338797814208,0.0620218579234972,0.2076502732240437,0.3770491803278688,1.9398907103825136,COL,44.0
Costa Rica,3.835686274509804,3.768627450980392,3.767254901960784,3.786960784313725,7.537450980392157,3.8186274509803924,9.856274509803924,9.86921568627451,4.95421568627451,0.0833333333333333,0.1176470588235294,0.3529411764705882,2.823529411764706,CRI,44.0
Cote dIvoire,3.71,3.625,3.415,3.5,7.33,3.54,9.33,10.0,5.0,0.13,0.0,1.0,2.0,,132.0
Ecuador,3.7916666666666665,3.8200000000000003,3.776666666666667,3.846666666666666,6.026666666666666,3.485,10.0,10.0,4.361666666666667,0.03,0.0,0.0,0.3333333333333333,ECU,10.0
El Salvador,3.837380952380952,3.8271428571428574,3.7835714285714284,3.7952380952380955,7.606666666666667,3.855714285714286,9.936190476190475,9.936190476190475,4.904285714285714,0.0457142857142857,0.0952380952380952,0.1428571428571428,3.571428571428572,SLV,44.0
Ethiopia,3.948181818181818,4.004545454545454,3.946931818181818,4.021818181818182,7.92409090909091,3.9861363636363634,9.87840909090909,9.954318181818184,4.931704545454545,0.0829545454545454,0.3636363636363636,0.25,5.159090909090909,ETH,44.0
Guatemala,3.772430939226519,3.744502762430939,3.6334254143646407,3.798204419889503,7.475745856353591,3.7349447513812155,9.852486187845304,9.889337016574586,4.935441988950276,0.1022651933701657,0.2762430939226519,0.1878453038674033,3.4198895027624308,GTM,44.0
