Country_of_Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,Rec_Cnt,id
Brazil,3.77655303030303,3.7867803030303033,3.7202651515151515,3.755719696969697,7.544545454545455,3.7657575757575756,9.884924242424242,9.853484848484849,4.97469696969697,0.0823484848484848,0.4469696969696969,0.1287878787878787,3.5984848484848486,132,BRA
Burundi,3.7075,3.73,3.625,3.7075,7.29,3.7075,10.0,10.0,5.0,0.06,0.0,0.0,2.5,2,BDI
China,3.820625,3.8128125,3.7421875,3.7890625,7.57375,3.7740625,9.958125,9.958125,4.958125,0.094375,0.5,0.0,4.0,16,CHN
Colombia,3.8265300546448087,3.798551912568306,3.762349726775956,3.78,7.609508196721311,3.8542076502732243,9.934426229508198,9.94535519125683,4.976338797814208,0.0620218579234972,0.2076502732240437,0.3770491803278688,1.9398907103825136,183,COL
Costa Rica,3.835686274509804,3.768627450980392,3.767254901960784,3.786960784313725,7.537450980392157,3.8186274509803924,9.856274509803924,9.86921568627451,4.95421568627451,0.0833333333333333,0.1176470588235294,0.3529411764705882,2.823529411764706,51,CRI
Cote dIvoire,3.71,3.625,3.415,3.5,7.33,3.54,9.33,10.0,5.0,0.13,0.0,1.0,2.0,0,
Ecuador,3.75,3.835,3.79,3.875,7.83,3.915,10.0,10.0,5.0,0.09,0.0,0.0,0.0,1,ECU
El Salvador,3.837380952380952,3.8271428571428574,3.7835714285714284,3.7952380952380955,7.606666666666667,3.855714285714286,9.936190476190475,9.936190476190475,4.904285714285714,0.0457142857142857,0.0952380952380952,0.1428571428571428,3.571428571428572,21,SLV
Ethiopia,3.948181818181818,4.004545454545454,3.946931818181818,4.021818181818182,7.92409090909091,3.9861363636363634,9.87840909090909,9.954318181818184,4.931704545454545,0.0829545454545454,0.3636363636363636,0.25,5.159090909090909,44,ETH
Guatemala,3.772430939226519,3.744502762430939,3.6334254143646407,3.798204419889503,7.475745856353591,3.7349447513812155,9.852486187845304,9.889337016574586,4.935441988950276,0.1022651933701657,0.2762430939226519,0.1878453038674033,3.4198895027624308,181,GTM
Haiti,3.5766666666666667,3.499166666666667,3.5558333333333336,3.563333333333333,7.276666666666666,3.528333333333334,9.776666666666666,8.555,4.555833333333333,0.11,0.0,1.5,3.5,6,HTI
Honduras,3.6462264150943393,3.617075471698113,3.530754716981132,3.6167924528301887,7.239245283018868,3.581981132075472,9.647735849056604,9.635283018867923,4.830188679245283,0.1077358490566037,0.1886792452830188,0.0566037735849056,3.5660377358490565,53,HND
India,3.835,3.665,3.585,3.335,7.17,3.71,9.33,10.0,3.335,0.0,7.0,0.0,0.0,1,IND
Indonesia,3.8244999999999996,3.7865,3.70775,3.7455,7.6315,3.76,9.933,9.9665,4.98325,0.0985,0.05,0.3,4.2,20,IDN
Kenya,3.8933999999999993,3.8912,3.8566,3.933,7.7264,3.9002,9.9732,9.9732,4.9866,0.08,0.24,0.04,2.52,25,KEN
Laos,3.7516666666666665,3.75,3.64,3.6533333333333338,7.363333333333333,3.7083333333333335,10.0,10.0,5.0,0.0833333333333333,0.0,0.0,0.0,3,LAO
Malawi,3.7836363636363632,3.693636363636364,3.6286363636363634,3.7040909090909087,7.338181818181818,3.685909090909091,10.0,10.0,5.0,0.1245454545454545,0.0,0.0,1.3636363636363635,11,MWI
Mauritius,3.625,3.625,3.585,3.585,7.25,3.585,10.0,10.0,5.0,0.12,0.0,0.0,0.0,1,MUS
Mexico,3.728792372881356,3.6895127118644067,3.6140254237288136,3.714173728813559,7.380466101694915,3.6643432203389823,9.74406779661017,9.65813559322034,4.985889830508475,0.1136016949152542,0.0381355932203389,0.8432203389830508,6.779661016949152,236,MEX
Myanmar,3.651875,3.66625,3.5625,3.703125,7.27,3.566875,10.0,10.0,5.0,0.01375,0.0,0.125,5.75,8,MMR
Nicaragua,3.664615384615385,3.6584615384615384,3.6009615384615383,3.6332692307692307,7.40076923076923,3.639230769230769,9.794615384615383,9.76923076923077,4.910192307692308,0.1076923076923076,0.3076923076923077,0.2692307692307692,2.769230769230769,26,NIC
Panama,3.83375,3.8125,3.8025,3.8525,7.5825,3.9375,10.0,10.0,5.0,0.07,0.25,0.75,2.5,4,PAN
Papua New Guinea,4.165,4.21,3.915,4.165,8.0,4.125,9.33,9.33,5.0,0.12,0.0,0.0,1.0,1,PNG
Peru,3.8465,3.8289999999999993,3.7704999999999993,3.8495,7.802,3.8329999999999993,9.533,9.466,4.933,0.066,0.1,1.3,3.7,10,PER
Philippines,3.682,3.6159999999999997,3.651,3.633,7.298,3.7,9.866,10.0,4.933,0.074,0.0,0.0,2.0,5,PHL
Rwanda,3.915,3.96,3.875,3.915,7.75,3.875,9.33,9.33,4.665,0.11,0.0,0.0,0.0,1,RWA
