REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,id
702,Arabica,South America,Brazil,2012.0,01/22/13,Arusha,Blue-Green,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,0.11,0,0,2,BRA
703,Arabica,South America,Colombia,2011.0,12/21/12,Caturra,Green,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,10.0,0.0,0,0,2,COL
704,Arabica,South America,Colombia,2011.0,09/21/12,,,,7.58,7.25,7.42,7.25,7.58,7.83,10.0,10.0,10.0,0.02,0,0,1,COL
705,Arabica,North America,Honduras,2017.0,04/06/18,Caturra,Green,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,0.1,1,0,8,HND
706,Arabica,South America,Brazil,2016.0,02/09/18,Catuai,Green,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,0.11,3,0,11,BRA
707,Arabica,South America,Brazil,2016.0,10/13/17,,Green,Natural / Dry,7.42,7.42,7.42,7.5,7.5,7.58,10.0,10.0,10.0,0.11,4,0,14,BRA
708,Arabica,South America,Brazil,2016.0,08/16/17,Bourbon,Bluish-Green,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,0.11,2,0,3,BRA
709,Arabica,North America,Costa Rica,2015.0,07/15/17,Caturra,Bluish-Green,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,0.1,1,6,3,CRI
710,Arabica,North America,Costa Rica,2015.0,05/17/17,Catuai,Green,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,0.0,2,0,0,CRI
711,Arabica,Asia,China,2015.0,04/05/17,Catimor,Green,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.12,6,0,2,CHN
