Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,id
Iceland,334.0,0.0,0.0,333.0,0.0,324.0,0.0,333.0,0.0,0.0,322.0,0.0,1646.0,ISL
Iran,0.0,0.0,0.0,363.0,0.0,363.0,0.0,711.0,0.0,0.0,0.0,0.0,1437.0,IRN
Cambodia,320.0,0.0,0.0,0.0,0.0,320.0,0.0,320.0,0.0,0.0,0.0,320.0,1280.0,KHM
Rwanda,286.0,0.0,0.0,286.0,0.0,0.0,286.0,0.0,0.0,0.0,378.0,0.0,1236.0,RWA
Cape Verde,0.0,320.0,0.0,0.0,0.0,115.0,0.0,320.0,0.0,0.0,449.0,0.0,1204.0,
Nigeria,0.0,285.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,NGA
Bosnia and Herzegovina,0.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,BIH
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,334.0,0.0,654.0,KAZ
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
HAITI,0.0,320.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,HTI
FIJI,0.0,0.0,,0.0,145.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,343.0,FJI
SRI LANKA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,LKA
ANGOLA,0.0,319.0,,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,AGO
PALESTINA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,
REPUBL. TCHECA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,
DJIBUTI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,
MADAGASCAR,0.0,0.0,,0.0,128.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,MDG
VENEZUELA,36.0,0.0,,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VEN
MOLDOVA,184.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MDA
GABAO,0.0,0.0,,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,
SEYCHELLES,0.0,0.0,,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,SYC
SOMALIA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,SOM
COMORES,99.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ABU DHABI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,
MALDIVAS,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
