Country,Year_x,id,Exports,Year_y,Imports
Albania,2023.0,ALB,196657.0,2023.0,9884.0
Algeria,2023.0,DZA,3760516.0,0.0,0.0
Andorra,0.0,AND,0.0,2023.0,0.0
Angola,2023.0,AGO,3380014.0,0.0,0.0
Anguilla,2023.0,AIA,0.0,0.0,0.0
Antigua and Barbuda,2023.0,ATG,226.0,0.0,0.0
Argentina,2023.0,ARG,503324733.0,2023.0,93013923.0
Armenia,2023.0,ARM,90.0,0.0,0.0
Aruba,2023.0,ABW,283971.0,0.0,0.0
Australia,2023.0,AUS,92288894.0,2023.0,1436.0
Austria,2023.0,AUT,43826086.0,2023.0,16377199.0
Azerbaijan,2023.0,AZE,10.0,0.0,0.0
Bahamas,2023.0,BHS,288731.0,0.0,0.0
Bahrein,2023.0,BHR,11217962.0,2023.0,2.0
Bangladesh,2023.0,BGD,1061126.0,2023.0,13698.0
Barbados,2023.0,BRB,1280297.0,0.0,0.0
Belgium,2023.0,BEL,179248161.0,2023.0,1144619.0
Belize,2023.0,BLZ,223753.0,2023.0,1693.0
Benin,2023.0,BEN,1109411.0,0.0,0.0
Bermuda,2023.0,BMU,25617.0,0.0,0.0
Bolivia,2023.0,BOL,132047846.0,0.0,0.0
Bosnia and Herzegovina,2023.0,BIH,5.0,2023.0,14.0
Botswana,2023.0,BWA,62079.0,0.0,0.0
Brazil,0.0,BRA,0.0,2023.0,409663.0
Bulgaria,2023.0,BGR,98749.0,2023.0,8070.0
Burkina Faso,2023.0,BFA,154.0,0.0,0.0
Burundi,2023.0,BDI,10532.0,0.0,0.0
Cambodia,2023.0,KHM,206.0,2023.0,1076.0
Cameroon,2023.0,CMR,748762.0,0.0,0.0
Canada,2023.0,CAN,13364299.0,2023.0,15816919.0
Cape Verde,2023.0,CPV,58399.0,0.0,0.0
Cayman Islands,2023.0,CYM,226651.0,0.0,0.0
Central African Republic,2023.0,CAF,1.0,0.0,0.0
Chile,2023.0,CHL,201049924.0,2023.0,32585211.0
China,2023.0,CHN,9748345525.0,2023.0,225139515.0
Cocos (Keeling) Islands,0.0,CCK,0.0,2023.0,2631.0
Colombia,2023.0,COL,130798826.0,2023.0,13688837.0
Congo,2023.0,COG,1452099.0,0.0,0.0
Cook Islands,2023.0,COK,0.0,0.0,0.0
Costa Rica,2023.0,CRI,14395515.0,2023.0,94934.0
Cote D'Ivore,2023.0,CIV,10655660.0,0.0,0.0
Croatia,2023.0,HRV,47249.0,2023.0,42705.0
Cuba,2023.0,CUB,3764007.0,0.0,0.0
Curaçao,2023.0,CUW,508954.0,0.0,0.0
Cyprus,2023.0,CYP,146199.0,2023.0,2.0
Czech Republic,2023.0,CZE,47.0,2023.0,803298.0
Democratic Republic of the Congo,2023.0,COD,1177623.0,0.0,0.0
Denmark,2023.0,DNK,6580.0,2023.0,131792.0
Dominica Island,2023.0,DMA,6.0,0.0,0.0
Dominican Republic,2023.0,DOM,27868379.0,2023.0,95948.0
Ecuador,2023.0,ECU,94871120.0,2023.0,243.0
Egypt,2023.0,EGY,112271584.0,2023.0,192.0
El Salvador,2023.0,SLV,41496998.0,2023.0,409114.0
Equatorial Guinea,2023.0,GNQ,19872.0,0.0,0.0
Estonia,2023.0,EST,96058.0,2023.0,43180.0
Ethiopia,2023.0,ETH,152084.0,0.0,0.0
Fiji,2023.0,FJI,44.0,0.0,0.0
Finland,2023.0,FIN,3819001.0,2023.0,46161049.0
France,2023.0,FRA,353367138.0,2023.0,3436006.0
French Guyana,2023.0,GUF,9398.0,0.0,0.0
French Polynesia,2023.0,PYF,15765.0,0.0,0.0
Gabon,2023.0,GAB,106.0,0.0,0.0
Gambia,2023.0,GMB,546400.0,0.0,0.0
Georgia,2023.0,GEO,20379.0,2023.0,4.0
Germany,2023.0,DEU,346419530.0,2023.0,44591423.0
Ghana,2023.0,GHA,11022521.0,0.0,0.0
Gibraltar,2023.0,GIB,232.0,0.0,0.0
Greece,2023.0,GRC,5286731.0,2023.0,29216.0
Grenada,2023.0,GRD,17.0,0.0,0.0
Guadeloupe,2023.0,GLP,24333.0,0.0,0.0
Guatemala,2023.0,GTM,27919749.0,2023.0,375594.0
Guinea,2023.0,GIN,2318435.0,0.0,0.0
Guinea-Bissau,2023.0,GNB,10953.0,0.0,0.0
Guyana,2023.0,GUY,985951.0,0.0,0.0
Haiti,2023.0,HTI,346447.0,0.0,0.0
Honduras,2023.0,HND,10189722.0,2023.0,973140.0
Hong Kong,2023.0,HKG,737683.0,2023.0,6896931.0
Hungary,2023.0,HUN,560.0,2023.0,696069.0
Iceland,2023.0,ISL,260000.0,0.0,0.0
India,2023.0,IND,35023251.0,2023.0,7142090.0
Indonesia,2023.0,IDN,115212896.0,2023.0,1662699.0
Iran,2023.0,IRN,2.0,0.0,0.0
Iraq,2023.0,IRQ,1686560.0,0.0,0.0
Ireland,2023.0,IRL,584383.0,2023.0,129739.0
Isle of Man,2023.0,IMN,283.0,0.0,0.0
Israel,2023.0,ISR,27654447.0,2023.0,29196.0
Italy,2023.0,ITA,1477158158.0,2023.0,16555305.0
Jamaica,2023.0,JAM,6284403.0,2023.0,2.0
Japan,2023.0,JPN,292441129.0,2023.0,1043638.0
Jordan,2023.0,JOR,78928421.0,0.0,0.0
Kazakhstan,2023.0,KAZ,9.0,0.0,0.0
Kenya,2023.0,KEN,9690514.0,2023.0,3.0
Kuwait,2023.0,KWT,2626713.0,0.0,0.0
Latvia,2023.0,LVA,0.0,2023.0,181.0
Lebanon,2023.0,LBN,11884160.0,2023.0,560.0
Liberia,2023.0,LBR,288355.0,0.0,0.0
Libya,2023.0,LBY,392628.0,0.0,0.0
Lithuania,2023.0,LTU,276697.0,2023.0,936344.0
Luxembourg,2023.0,LUX,743.0,2023.0,34124.0
Macao,2023.0,MAC,1.0,2023.0,103674.0
Macedonia,2023.0,MKD,20.0,0.0,0.0
Madagascar,2023.0,MDG,330503.0,0.0,0.0
Malawi,2023.0,MWI,26.0,0.0,0.0
Malaysia,2023.0,MYS,11987591.0,2023.0,1019545.0
Maldives,2023.0,MDV,67.0,0.0,0.0
Malta,2023.0,MLT,423946.0,2023.0,210.0
Marshall Islands,2023.0,MHL,23763.0,0.0,0.0
Martinique,2023.0,MTQ,66.0,0.0,0.0
Mauritania,2023.0,MRT,317809.0,0.0,0.0
Mauritius,2023.0,MUS,164628.0,0.0,0.0
Mexico,2023.0,MEX,208427996.0,2023.0,1141229.0
Moldova,2023.0,MDA,67.0,0.0,0.0
Monaco,2023.0,MCO,244.0,0.0,0.0
Mongolia,2023.0,MNG,11.0,0.0,0.0
Montenegro,2023.0,MNE,74892.0,0.0,0.0
Morocco,2023.0,MAR,2206575.0,2023.0,233.0
Mozambique,2023.0,MOZ,207393.0,0.0,0.0
Myanmar,2023.0,MMR,92251.0,0.0,0.0
Nepal,2023.0,NPL,8.0,2023.0,7.0
Netherlands,2023.0,NLD,1344924496.0,2023.0,3746809.0
New Caledonia,2023.0,NCL,21.0,0.0,0.0
New Zealand,2023.0,NZL,7418866.0,2023.0,1006693.0
Nicaragua,2023.0,NIC,1832544.0,2023.0,100930.0
Niger,2023.0,NER,1890.0,0.0,0.0
Nigeria,2023.0,NGA,25425237.0,2023.0,6.0
Norway,2023.0,NOR,10871.0,2023.0,1215295.0
Oman,2023.0,OMN,215257.0,0.0,0.0
Pakistan,2023.0,PAK,54525992.0,2023.0,58.0
Palau,2023.0,PLW,334.0,0.0,0.0
Palestine,2023.0,PSE,4.0,0.0,0.0
Panama,2023.0,PAN,4200231.0,2023.0,1.0
Paraguay,2023.0,PRY,126544790.0,2023.0,26902945.0
Peru,2023.0,PER,207132561.0,2023.0,1570.0
Philippines,2023.0,PHL,2640820.0,2023.0,11094.0
Poland,2023.0,POL,1780096.0,2023.0,2932377.0
Portugal,2023.0,PRT,19204346.0,2023.0,1759921.0
Puerto Rico,2023.0,PRI,445495.0,2023.0,383.0
Qatar,2023.0,QAT,1306585.0,0.0,0.0
Reunion,2023.0,REU,28036.0,0.0,0.0
Romania,2023.0,ROU,2205831.0,2023.0,3213.0
Russia,2023.0,RUS,1.0,2023.0,20988.0
Rwanda,2023.0,RWA,275259.0,0.0,0.0
Saint Christopher and Nevis,2023.0,KNA,23.0,0.0,0.0
Saint Helena,2023.0,SHN,48249.0,0.0,0.0
Saint Lucia,2023.0,LCA,29.0,0.0,0.0
Saint Vicent and the Granadines,2023.0,VCT,70894.0,0.0,0.0
San Marino,2023.0,SMR,3.0,2023.0,3.0
Saudi Arabia,2023.0,SAU,82701437.0,2023.0,2649.0
Senegal,2023.0,SEN,6790606.0,0.0,0.0
Serbia,2023.0,SRB,761.0,2023.0,1888.0
Seychelles,2023.0,SYC,27.0,2023.0,4720.0
Sierra Leone,2023.0,SLE,131806.0,0.0,0.0
Singapore,2023.0,SGP,36099832.0,2023.0,1667640.0
Slovakia,2023.0,SVK,24.0,2023.0,6790.0
Slovenia,2023.0,SVN,339440.0,2023.0,2582899.0
South Africa,2023.0,ZAF,69567303.0,2023.0,38770.0
South Korea,2023.0,KOR,338482348.0,2023.0,6839499.0
Spain,2023.0,ESP,216592637.0,2023.0,17539848.0
Sri Lanka,2023.0,LKA,1171275.0,2023.0,4.0
Sudan,2023.0,SDN,477.0,0.0,0.0
Suriname,2023.0,SUR,649762.0,0.0,0.0
Sweden,2023.0,SWE,794318.0,2023.0,42286150.0
Switzerland,2023.0,CHE,934600.0,2023.0,1219993.0
Taiwan,2023.0,TWN,238942110.0,2023.0,4545197.0
Tajikistan,2023.0,TJK,2.0,0.0,0.0
Tanzania,2023.0,TZA,559315.0,2023.0,0.0
Thailand,2023.0,THA,35831732.0,2023.0,309364.0
Togo,2023.0,TGO,1581021.0,0.0,0.0
Tokelau,2023.0,TKL,55.0,0.0,0.0
Trinidad and Tobago,2023.0,TTO,12818710.0,0.0,0.0
Tunisia,2023.0,TUN,2240648.0,2023.0,435.0
Turkey,2023.0,TUR,394952027.0,2023.0,462138.0
Turkmenistan,0.0,TKM,0.0,2023.0,8.0
Uganda,2023.0,UGA,1945791.0,0.0,0.0
Ukraine,2023.0,UKR,142963.0,2023.0,139304.0
United Arab Emirates,2023.0,ARE,372164236.0,2023.0,231829.0
