Country,Year_x,id,Exports,Year_y,Imports
Albania,2018.0,ALB,143513.0,2018.0,5470.0
Algeria,2018.0,DZA,294753.0,0.0,0.0
Andorra,2018.0,AND,0.0,2018.0,55.0
Angola,2018.0,AGO,1243289.0,0.0,0.0
Antigua and Barbuda,2018.0,ATG,304.0,0.0,0.0
Argentina,2018.0,ARG,502350292.0,2018.0,111286714.0
Armenia,2018.0,ARM,4.0,0.0,0.0
Aruba,2018.0,ABW,182099.0,0.0,0.0
Australia,2018.0,AUS,22819270.0,2018.0,374504.0
Austria,2018.0,AUT,90895336.0,2018.0,29266402.0
Azerbaijan,2018.0,AZE,4.0,0.0,0.0
Bahamas,2018.0,BHS,169833.0,0.0,0.0
Bahrein,2018.0,BHR,747437.0,0.0,0.0
Bangladesh,2018.0,BGD,7503022.0,0.0,0.0
Barbados,2018.0,BRB,1290189.0,0.0,0.0
Belarus,2018.0,BLR,64.0,2018.0,25048.0
Belgium,2018.0,BEL,480756260.0,2018.0,1637507.0
Belize,2018.0,BLZ,127777.0,0.0,0.0
Benin,2018.0,BEN,360837.0,0.0,0.0
Bermuda,2018.0,BMU,5.0,0.0,0.0
Bhutan,0.0,BTN,0.0,2018.0,285.0
Bolivia,2018.0,BOL,85806278.0,2018.0,5335.0
Bosnia and Herzegovina,2018.0,BIH,18.0,2018.0,0.0
Botswana,2018.0,BWA,32.0,0.0,0.0
Brazil,0.0,BRA,0.0,2018.0,26758.0
British Indian Ocean Territory,2018.0,IOT,23685.0,0.0,0.0
Bulgaria,2018.0,BGR,470590.0,2018.0,60.0
Cambodia,2018.0,KHM,49477.0,2018.0,99.0
Cameroon,2018.0,CMR,3104604.0,0.0,0.0
Canada,2018.0,CAN,33397864.0,2018.0,111913137.0
Cape Verde,2018.0,CPV,383.0,0.0,0.0
Cayman Islands,2018.0,CYM,250204145.0,0.0,0.0
Chile,2018.0,CHL,144586454.0,2018.0,33043173.0
China,2018.0,CHN,6488531674.0,2018.0,120849364.0
Colombia,2018.0,COL,82132201.0,2018.0,14629109.0
Congo,2018.0,COG,465136.0,0.0,0.0
Costa Rica,2018.0,CRI,5304258.0,2018.0,98666.0
Cote D'Ivore,2018.0,CIV,5365611.0,0.0,0.0
Croatia,2018.0,HRV,167146.0,2018.0,17.0
Cuba,2018.0,CUB,1700332.0,2018.0,2.0
Curaçao,2018.0,CUW,128543.0,0.0,0.0
Cyprus,2018.0,CYP,608720.0,2018.0,3.0
Czech Republic,2018.0,CZE,297.0,2018.0,217926.0
Democratic Republic of the Congo,2018.0,COD,1185463.0,0.0,0.0
Denmark,2018.0,DNK,1681.0,2018.0,104727.0
Djibouti,2018.0,DJI,24210.0,0.0,0.0
Dominican Republic,2018.0,DOM,23271560.0,2018.0,1410341.0
Ecuador,2018.0,ECU,64556107.0,2018.0,41.0
Egypt,2018.0,EGY,28162498.0,2018.0,1072.0
El Salvador,2018.0,SLV,7701134.0,2018.0,5048.0
Equatorial Guinea,2018.0,GNQ,735.0,0.0,0.0
Estonia,2018.0,EST,5.0,2018.0,445.0
Ethiopia,2018.0,ETH,74.0,0.0,0.0
Fiji,2018.0,FJI,0.0,0.0,0.0
Finland,2018.0,FIN,11138.0,2018.0,95684754.0
France,2018.0,FRA,437891370.0,2018.0,10261347.0
French Guyana,2018.0,GUF,14638.0,0.0,0.0
French Polynesia,2018.0,PYF,15714.0,2018.0,47.0
Gabon,2018.0,GAB,59627.0,0.0,0.0
Gambia,2018.0,GMB,611655.0,0.0,0.0
Georgia,2018.0,GEO,19507.0,0.0,0.0
Germany,2018.0,DEU,445658654.0,2018.0,55920198.0
Ghana,2018.0,GHA,7219325.0,0.0,0.0
Greece,2018.0,GRC,1195230.0,2018.0,25222.0
Grenada,2018.0,GRD,13.0,2018.0,0.0
Guadeloupe,2018.0,GLP,112.0,0.0,0.0
Guatemala,2018.0,GTM,16941569.0,2018.0,22234.0
Guinea,2018.0,GIN,502360.0,0.0,0.0
Guinea-Bissau,2018.0,GNB,8774.0,0.0,0.0
Guyana,2018.0,GUY,249374.0,0.0,0.0
Haiti,2018.0,HTI,1311996.0,0.0,0.0
Honduras,2018.0,HND,8008438.0,0.0,0.0
Hong Kong,2018.0,HKG,1318760.0,2018.0,3917332.0
Hungary,2018.0,HUN,5110.0,2018.0,480810.0
Iceland,2018.0,ISL,21.0,0.0,0.0
India,2018.0,IND,64328016.0,2018.0,4218299.0
Indonesia,2018.0,IDN,42360178.0,2018.0,1493816.0
Iran,2018.0,IRN,3276990.0,2018.0,3.0
Iraq,2018.0,IRQ,328174.0,0.0,0.0
Ireland,2018.0,IRL,1889468.0,2018.0,106.0
Israel,2018.0,ISR,25831816.0,2018.0,4079055.0
Italy,2018.0,ITA,1429069928.0,2018.0,17091172.0
Jamaica,2018.0,JAM,2804771.0,0.0,0.0
Japan,2018.0,JPN,260642620.0,2018.0,1719349.0
Jordan,2018.0,JOR,18439619.0,0.0,0.0
Kazakhstan,2018.0,KAZ,0.0,0.0,0.0
Kenya,2018.0,KEN,6824835.0,2018.0,1.0
Kuwait,2018.0,KWT,1895058.0,0.0,0.0
Latvia,2018.0,LVA,18399.0,2018.0,53.0
Lebanon,2018.0,LBN,6038432.0,0.0,0.0
Lesotho,2018.0,LSO,15.0,0.0,0.0
Liberia,2018.0,LBR,517617.0,0.0,0.0
Libya,2018.0,LBY,308.0,0.0,0.0
Lithuania,2018.0,LTU,444593.0,2018.0,17067.0
Luxembourg,2018.0,LUX,23.0,2018.0,7398.0
Macao,2018.0,MAC,138885319.0,0.0,0.0
Macedonia,2018.0,MKD,46087.0,0.0,0.0
Madagascar,2018.0,MDG,269806.0,0.0,0.0
Malawi,2018.0,MWI,12076.0,0.0,0.0
Malaysia,2018.0,MYS,10905173.0,2018.0,1121328.0
Mali,2018.0,MLI,1267410.0,0.0,0.0
Malta,2018.0,MLT,97588.0,2018.0,55364.0
Marshall Islands,2018.0,MHL,1562.0,0.0,0.0
Martinique,2018.0,MTQ,2.0,0.0,0.0
Mauritania,2018.0,MRT,902138.0,0.0,0.0
Mauritius,2018.0,MUS,508199.0,0.0,0.0
Mayotte,2018.0,MYT,19867.0,0.0,0.0
Mexico,2018.0,MEX,94835991.0,2018.0,1903914.0
Monaco,2018.0,MCO,47771.0,0.0,0.0
Mongolia,2018.0,MNG,1.0,0.0,0.0
Morocco,2018.0,MAR,8002943.0,2018.0,2432.0
Mozambique,2018.0,MOZ,371353.0,0.0,0.0
Myanmar,2018.0,MMR,41.0,0.0,0.0
Namibia,2018.0,NAM,46652.0,0.0,0.0
Nepal,2018.0,NPL,4.0,2018.0,8.0
Netherlands,2018.0,NLD,1642354163.0,2018.0,6071163.0
New Caledonia,2018.0,NCL,125.0,0.0,0.0
New Zealand,2018.0,NZL,7240050.0,2018.0,435416.0
Nicaragua,2018.0,NIC,973553.0,0.0,0.0
Nigeria,2018.0,NGA,6567445.0,2018.0,88.0
Niue,2018.0,NIU,2.0,0.0,0.0
North Korea,2018.0,PRK,23516.0,0.0,0.0
Norway,2018.0,NOR,1038.0,2018.0,2288261.0
Oman,2018.0,OMN,1134748.0,0.0,0.0
Pakistan,2018.0,PAK,60481859.0,2018.0,16526.0
Panama,2018.0,PAN,6046625.0,2018.0,127797.0
Paraguay,2018.0,PRY,108314819.0,2018.0,27329143.0
Peru,2018.0,PER,181194631.0,2018.0,49115.0
Philippines,2018.0,PHL,6981671.0,2018.0,8788.0
Poland,2018.0,POL,4063367.0,2018.0,3188923.0
Portugal,2018.0,PRT,13758437.0,2018.0,13091434.0
Puerto Rico,2018.0,PRI,1487948.0,2018.0,38.0
Qatar,2018.0,QAT,127708.0,0.0,0.0
Reunion,2018.0,REU,496776.0,0.0,0.0
Romania,2018.0,ROU,1173738.0,2018.0,2784.0
Russia,2018.0,RUS,694540.0,2018.0,8815736.0
