Country,Year_x,id,Exports,Year_y,Imports
Namibia,2016.0,NAM,254849.0,0.0,0.0
Nepal,0.0,NPL,0.0,2016.0,29.0
Netherlands,2016.0,NLD,1920540869.0,2016.0,3825090.0
Netherlands Antilles,2016.0,ANT,395857.0,0.0,0.0
New Zealand,2016.0,NZL,2698695.0,2016.0,618.0
Nicaragua,2016.0,NIC,1287679.0,0.0,0.0
Nigeria,2016.0,NGA,12973762.0,0.0,0.0
North Korea,0.0,PRK,0.0,2016.0,1334.0
Norway,2016.0,NOR,35.0,2016.0,4334591.0
Oman,2016.0,OMN,549168.0,0.0,0.0
Pakistan,2016.0,PAK,40764209.0,2016.0,752.0
Palestine,2016.0,PSE,5.0,0.0,0.0
Panama,2016.0,PAN,4961319.0,2016.0,4.0
Paraguay,2016.0,PRY,84759934.0,2016.0,15479676.0
Peru,2016.0,PER,135588246.0,2016.0,45948.0
Philippines,2016.0,PHL,18816789.0,2016.0,11916.0
Poland,2016.0,POL,2446786.0,2016.0,1470419.0
Portugal,2016.0,PRT,14801064.0,2016.0,5766031.0
Puerto Rico,2016.0,PRI,1618211.0,2016.0,95.0
Qatar,2016.0,QAT,62367.0,2016.0,22.0
Reunion,2016.0,REU,615801.0,0.0,0.0
Romania,2016.0,ROU,1213649.0,2016.0,5377.0
Russia,2016.0,RUS,123783.0,2016.0,14576892.0
Saint Helena,2016.0,SHN,4.0,0.0,0.0
Saint Lucia,2016.0,LCA,24071.0,0.0,0.0
Saint Vicent and the Granadines,2016.0,VCT,0.0,0.0,0.0
Samoa,0.0,WSM,0.0,2016.0,14.0
Saudi Arabia,2016.0,SAU,20167274.0,0.0,0.0
Senegal,2016.0,SEN,4088470.0,0.0,0.0
Serbia,2016.0,SRB,253822.0,2016.0,38651.0
Seychelles,2016.0,SYC,25.0,0.0,0.0
Sierra Leone,2016.0,SLE,198670.0,2016.0,1.0
Singapore,2016.0,SGP,79272020.0,2016.0,53805.0
Slovakia,2016.0,SVK,25.0,2016.0,8784.0
Slovenia,2016.0,SVN,38.0,2016.0,3684969.0
South Africa,2016.0,ZAF,86511698.0,2016.0,1438006.0
South Korea,2016.0,KOR,307890343.0,2016.0,2457775.0
Spain,2016.0,ESP,270037059.0,2016.0,25120579.0
Sri Lanka,2016.0,LKA,5254158.0,2016.0,1.0
Sudan,2016.0,SDN,664405.0,0.0,0.0
Suriname,2016.0,SUR,431536.0,0.0,0.0
Sweden,2016.0,SWE,162517.0,2016.0,42827005.0
Switzerland,2016.0,CHE,65273.0,2016.0,978811.0
