Country,Year_x,id,Exports,Year_y,Imports
Afghanistan,2019.0,AFG,88.0,0.0,0.0
Albania,2019.0,ALB,87136.0,2019.0,2654.0
Algeria,2019.0,DZA,1042848.0,0.0,0.0
Andorra,2019.0,AND,2044044.0,2019.0,386.0
Angola,2019.0,AGO,2870188.0,0.0,0.0
Antigua and Barbuda,2019.0,ATG,350.0,0.0,0.0
Argentina,2019.0,ARG,461316238.0,2019.0,115801147.0
Armenia,2019.0,ARM,76379.0,0.0,0.0
Aruba,2019.0,ABW,185860.0,0.0,0.0
Australia,2019.0,AUS,42151350.0,2019.0,501684.0
Austria,2019.0,AUT,37612896.0,2019.0,26095977.0
Azerbaijan,2019.0,AZE,8585.0,0.0,0.0
Bahamas,2019.0,BHS,291312.0,0.0,0.0
Bahrein,2019.0,BHR,911546.0,0.0,0.0
Bangladesh,2019.0,BGD,1675487.0,2019.0,0.0
Barbados,2019.0,BRB,1218976.0,0.0,0.0
Belarus,2019.0,BLR,1.0,2019.0,50873.0
Belgium,2019.0,BEL,320234037.0,2019.0,2797653.0
Belize,2019.0,BLZ,184319.0,0.0,0.0
Benin,2019.0,BEN,584818.0,0.0,0.0
Bermuda,2019.0,BMU,303.0,0.0,0.0
Bolivia,2019.0,BOL,87957876.0,2019.0,22.0
Bosnia and Herzegovina,2019.0,BIH,5.0,2019.0,9.0
Botswana,2019.0,BWA,374103.0,0.0,0.0
Brazil,2019.0,BRA,16.0,2019.0,59822.0
Bulgaria,2019.0,BGR,179141.0,2019.0,1028.0
Burkina Faso,2019.0,BFA,519.0,0.0,0.0
Cambodia,2019.0,KHM,86096.0,2019.0,132.0
Cameroon,2019.0,CMR,5537043.0,0.0,0.0
Canada,2019.0,CAN,16626138.0,2019.0,74504351.0
Cape Verde,2019.0,CPV,41340.0,0.0,0.0
Cayman Islands,2019.0,CYM,19959541.0,0.0,0.0
Chile,2019.0,CHL,171396829.0,2019.0,31591196.0
China,2019.0,CHN,6893486900.0,2019.0,165201996.0
Colombia,2019.0,COL,88665858.0,2019.0,16473785.0
Congo,2019.0,COG,1098894.0,0.0,0.0
Costa Rica,2019.0,CRI,7582884.0,2019.0,79902.0
Cote D'Ivore,2019.0,CIV,7508366.0,0.0,0.0
Croatia,2019.0,HRV,560681.0,2019.0,46366.0
Cuba,2019.0,CUB,1567537.0,2019.0,161.0
Curaçao,2019.0,CUW,232966.0,2019.0,126.0
Cyprus,2019.0,CYP,483170.0,2019.0,2188.0
Czech Republic,2019.0,CZE,889.0,2019.0,205715.0
Democratic Republic of the Congo,2019.0,COD,1405004.0,0.0,0.0
Denmark,2019.0,DNK,2296.0,2019.0,128555.0
Dominica Island,2019.0,DMA,18.0,0.0,0.0
Dominican Republic,2019.0,DOM,24261495.0,2019.0,3235790.0
Ecuador,2019.0,ECU,57378771.0,2019.0,1.0
Egypt,2019.0,EGY,57593513.0,2019.0,79.0
El Salvador,2019.0,SLV,5535322.0,2019.0,320.0
Equatorial Guinea,2019.0,GNQ,1056.0,0.0,0.0
Estonia,2019.0,EST,75.0,2019.0,200471.0
Ethiopia,2019.0,ETH,283.0,0.0,0.0
Fiji,2019.0,FJI,4.0,0.0,0.0
Finland,2019.0,FIN,16062.0,2019.0,90142259.0
France,2019.0,FRA,370169635.0,2019.0,8685365.0
French Guyana,2019.0,GUF,917.0,0.0,0.0
French Polynesia,2019.0,PYF,129794.0,0.0,0.0
Gabon,2019.0,GAB,330151.0,0.0,0.0
Gambia,2019.0,GMB,1095378.0,0.0,0.0
Georgia,2019.0,GEO,18395.0,2019.0,0.0
Germany,2019.0,DEU,403112375.0,2019.0,60173505.0
Ghana,2019.0,GHA,12583002.0,0.0,0.0
Gibraltar,2019.0,GIB,36.0,0.0,0.0
Greece,2019.0,GRC,1510434.0,2019.0,26662.0
Grenada,2019.0,GRD,1.0,2019.0,0.0
Guadeloupe,2019.0,GLP,99.0,0.0,0.0
Guatemala,2019.0,GTM,15442599.0,2019.0,24704.0
Guinea,2019.0,GIN,367841.0,0.0,0.0
Guinea-Bissau,2019.0,GNB,410229.0,0.0,0.0
Guyana,2019.0,GUY,419212.0,0.0,0.0
Haiti,2019.0,HTI,2107381.0,0.0,0.0
Honduras,2019.0,HND,6732823.0,2019.0,150.0
Hong Kong,2019.0,HKG,106472.0,2019.0,2657376.0
Hungary,2019.0,HUN,8622.0,2019.0,711972.0
Iceland,0.0,ISL,0.0,2019.0,8.0
India,2019.0,IND,22560028.0,2019.0,3612386.0
Indonesia,2019.0,IDN,45449104.0,2019.0,2654298.0
Iran,2019.0,IRN,54.0,0.0,0.0
Iraq,2019.0,IRQ,4065317.0,0.0,0.0
Ireland,2019.0,IRL,1157367.0,2019.0,143469.0
Isle of Man,2019.0,IMN,45.0,0.0,0.0
Israel,2019.0,ISR,23581145.0,2019.0,7298053.0
Italy,2019.0,ITA,1314023826.0,2019.0,15851464.0
Jamaica,2019.0,JAM,2780459.0,2019.0,0.0
Japan,2019.0,JPN,335135777.0,2019.0,1560417.0
Jordan,2019.0,JOR,21106310.0,0.0,0.0
Kazakhstan,2019.0,KAZ,9.0,0.0,0.0
Kenya,2019.0,KEN,7120011.0,2019.0,0.0
Kiribati,2019.0,KIR,43.0,0.0,0.0
Kuwait,2019.0,KWT,3863078.0,0.0,0.0
Latvia,2019.0,LVA,244.0,2019.0,32.0
Lebanon,2019.0,LBN,2246366.0,2019.0,20.0
Lesotho,2019.0,LSO,15.0,0.0,0.0
Liberia,2019.0,LBR,1015515.0,0.0,0.0
Libya,2019.0,LBY,2518.0,0.0,0.0
Liechtenstein,0.0,LIE,0.0,2019.0,1014.0
Lithuania,2019.0,LTU,51518.0,2019.0,16498.0
Luxembourg,2019.0,LUX,7.0,2019.0,4454.0
Macao,2019.0,MAC,103491212.0,2019.0,6021.0
Madagascar,2019.0,MDG,765900.0,0.0,0.0
Malawi,2019.0,MWI,64527.0,0.0,0.0
Malaysia,2019.0,MYS,12848007.0,2019.0,968007.0
Mali,2019.0,MLI,400947.0,0.0,0.0
Malta,2019.0,MLT,5234.0,2019.0,50575.0
Marshall Islands,2019.0,MHL,10550.0,0.0,0.0
Martinique,2019.0,MTQ,30.0,0.0,0.0
Mauritania,2019.0,MRT,507232.0,0.0,0.0
Mauritius,2019.0,MUS,609766.0,0.0,0.0
Mayotte,2019.0,MYT,39855.0,0.0,0.0
Mexico,2019.0,MEX,126436130.0,2019.0,2396211.0
Moldova,2019.0,MDA,4.0,0.0,0.0
Mongolia,2019.0,MNG,47920.0,2019.0,0.0
Montenegro,2019.0,MNE,166.0,0.0,0.0
Morocco,2019.0,MAR,1478164.0,2019.0,1601.0
Mozambique,2019.0,MOZ,554852.0,0.0,0.0
Myanmar,2019.0,MMR,1243187.0,0.0,0.0
Namibia,2019.0,NAM,148243.0,0.0,0.0
